State,Festival/Fair,Typical time,Core celebration (what people do),How it’s celebrated differently vs other states,How it differs between Bihar and Uttar Pradesh
Bihar,Chhath Puja (Kartik),"Oct–Nov (Kartik Shukla Chaturthi–Saptami; ~1 week after Diwali)","4-day vrat (Nahay-Khay, Kharna, Sandhya Arghya, Usha Arghya); arghya to setting + rising Sun at rivers/ponds; offerings like thekua in bamboo soop/daura","Sun-worship with arghya to BOTH setting and rising Sun + strict 36-hour nirjala fast is far more central and mass-participatory than most states","Bihar treats it as the biggest mass festival across cities/villages; East UP also celebrates, but Bihar has denser ghat culture and statewide ‘homecoming’ travel"
Bihar,Chhath Puja (Chaiti),"Mar–Apr","Same 4-day structure as Kartik Chhath but in Chaitra season","A rare ‘second Chhath’ many states don’t observe at scale","Observed in both Bihar and pockets of UP; Bihar has larger household continuity (mannat-based repeats)"
Bihar,Sama-Chakeva,"Nov–Dec (around Kartik Purnima period)","Girls/women make clay figurines (birds, Sama, Chakeva), sing Maithili folk songs, carry idols in baskets; immersion/farewell rituals","Distinctly Mithila—folk-art + migratory-bird symbolism and women-led public singing sets it apart from mainstream pan-India festivals","Mostly Bihar (Mithila belt) vs UP: largely not a mainstream UP fair; closest UP parallel is folk fairs but not this sibling/bird-idol tradition"
Bihar,Madhushravani,"Jul–Aug (Shravan)","Newly married women observe 13–15 day rituals; folk tales, songs; worship involving Gauri and serpent/Naga traditions","Strongly marriage-rite oriented and region-specific (Mithila), unlike broader Shravan observances elsewhere","Bihar (Mithila) has this bridal focus; UP Shravan observances are more temple/kanwar oriented than a bride-centered 15-day vrata"
Bihar,Chaurchan (Mithila moon worship),"Aug–Sep (Bhadrapada Shukla Chaturthi)","Community cooking, aripan courtyard art, arghya to the moon; inclusive participation","Notable because it reverses the common ‘avoid moon’ idea linked with Ganesh Chaturthi in many places","Bihar (Mithila) actively worships the moon; UP typically follows wider North Indian Ganesh Chaturthi narratives without Chaurchan prominence"
Bihar,Sonepur Mela (Harihar Kshetra Mela),"Nov (Kartik Purnima)","Mass fair at Ganga–Gandak confluence; holy dip + Harihar Nath temple visit; livestock trade and stalls","One of Asia’s biggest cattle fairs; strong blend of pilgrimage + large-scale rural trade","Bihar hosts the canonical event at Sonepur; UP has large melas too but not this specific confluence cattle-fair identity"
Bihar,Pitrapaksha Mela (Gaya Shraddha),"Sep (Pitru Paksha; ~15–17 days)","Pilgrims perform pind-daan/shraddha at Vishnupad/ghats; many-day ritual packages","Gaya’s pind-daan is uniquely iconic nationally; other states do shraddha at home/nearby tirthas, but Gaya is a primary destination","Bihar has Gaya as a dedicated shraddha hub; UP has Prayagraj/Varanasi rituals but Gaya-style pind-daan pilgrimage concentration is distinct"
Bihar,Shravani Mela / Kanwar Yatra route (Sultanganj origin),"Jul–Aug (Shravan)","Kanwariyas collect Ganga jal at Sultanganj and walk long route to offer at Baidyanath Dham (Deoghar)","Scale + cross-state foot pilgrimage corridor is a defining feature vs many local Shravan temple visits elsewhere","Bihar’s key role is Sultanganj jal-collection gateway; UP has Kanwar routes too, but this Bihar-to-Deoghar corridor is a hallmark"
Bihar,Bihula/Bishahari (Manasa worship) and Manjusha tradition,"Aug–Sep (varies)","Worship of Manasa/Bishahari; legend of Bihula; associated folk art traditions (Manjusha)","The linked folk narrative + local art form makes it more culturally ‘story+art’ than typical temple-only puja","Bihar (Bhagalpur belt) is core; UP has snake-worship elements in Nag Panchami, but not the Bihula-Manjusha cultural package"
Bihar,Rajgir Mahotsav,"Late Dec","Multi-day cultural performances (folk/classical), crafts, tourism events","More of a state-showcase cultural festival than a strictly religious mela","Bihar’s Rajgir-centric cultural branding; UP has similar mahotsavs (Lucknow/Agra/Varanasi) but different themes/heritage anchors"
Bihar,Malmas Mela (Rajgir; Adhika Maas),"Occurs in Adhika Maas years (every ~2–3 years)","Month-long pilgrimage-style fair during extra lunar month; sermons/worship; big inflow","Extra-month (Adhika Maas) mass fair is unusual and time-dependent; not a fixed annual festival","Bihar’s Rajgir focus; UP has major monthly tirth periods too, but Rajgir Malmas has its own localized identity"
Uttar Pradesh,Magh Mela / Magh Fair (Prayagraj),"Jan–Feb (Magh month)","Pilgrims camp and bathe at Sangam; religious discourses and rituals","Prayagraj’s Sangam bathing-camps are especially central vs smaller river dips elsewhere","UP’s Prayagraj Sangam is the centerpiece; Bihar has big river rituals (e.g., Chhath) but not an equivalent Magh-month Sangam camp tradition"
Uttar Pradesh,Kumbh Mela (Prayagraj cycle),"Varies (Kumbh cycle)","Mass bathing, akharas/saints, ritual camps at Sangam","Scale and akhara-centric procession culture is unusually large compared with ordinary fairs","UP’s Prayagraj Kumbh is a global-scale congregation; Bihar has massive pilgrimages (Gaya/Sonepur/Chhath) but not Kumbh-style akhara encampments"
Uttar Pradesh,Ramnagar Ramlila (Varanasi region),"Sep–Oct (Dussehra season; tradition runs ~31 days)","Open-air, town-as-stage enactment across locations; audience moves with scenes","Long-duration, immersive “moving pilgrimage” style is distinctive vs shorter stage Ramlilas elsewhere","UP (Ramnagar) is uniquely long and site-specific; Bihar has Ramlilas too, but typically shorter/local-stage formats"
Uttar Pradesh,Deepotsav (Ayodhya),"Oct–Nov (around Diwali)","Large-scale diya-lighting along Saryu ghats; Ramayana-themed cultural performances; record attempts","Ayodhya’s record-setting mass diya installations are a standout modern scale compared with most cities","UP’s Ayodhya emphasizes Ram-temple-centered spectacle; Bihar’s Diwali is widespread but not this single-city record-centric format"
Uttar Pradesh,Dev Deepawali (Varanasi),"Nov (Kartik Purnima)","Ghats lit with vast diyas, Ganga aarti, lamps on river; major crowd management at ghats","More ghat-centric, riverfront illumination than typical Diwali lighting in other places; tied to Kartik Purnima","UP’s Varanasi ghat illumination is signature; Bihar has riverfront festivals (Chhath) but Dev-Deepawali style focuses on ghats + Kartik Purnima lamps rather than Sun arghya"
Uttar Pradesh,Barsana Lathmar Holi (Braj),"Feb–Mar (pre-Holi period)","Playful ritualized ‘lathi’ reenactment linked to Radha-Krishna lore; temple-centered celebrations","Much more region-specific performance tradition than standard color-throwing Holi","UP’s Braj Holi is highly localized and lore-driven; Bihar Holi is vibrant too but typically lacks the Barsana-style lathmar enactment"
Uttar Pradesh,Nauchandi Mela (Meerut),"Mar–Apr (starts after Holi; Chaitra/Navratri period)","Month-long fair with worship and commerce at Nauchandi Ground; associated with both temple and nearby dargah traditions","Known for syncretic Hindu–Muslim confluence alongside large bazaar/entertainment, which is not universal in other states’ fairs","UP’s Meerut mela has a strong documented syncretic identity; Bihar has syncretic fairs too, but Nauchandi’s specific pairing and scale are UP-local"
Uttar Pradesh,Taj Mahotsav (Agra),"Mar (20–29)","Crafts bazaar + culture/cuisine showcases; performances by artists; artisan promotion","More “heritage + handicraft showcase” than a religious mela, unlike many Indian fairs","UP’s Agra version highlights Braj/UP craftsmanship; Bihar has craft + culture festivals too, but Taj Mahotsav is tightly tied to Agra tourism branding"
