Hindi Month (Purnimanta),Approx Gregorian Period,Paksha Structure (Moon Phases),Major Festivals Celebrated,How Festivals Are Calculated (Basis & Rules)
Chaitra,Mar–Apr,"Shukla Paksha (Amavasya → Purnima), Krishna Paksha (Purnima → Amavasya)","Chaitra Navratri, Ram Navami, Hanuman Jayanti","Mostly tithi-based; Ram Navami falls on Shukla Navami; Navratri runs from Shukla Pratipada to Navami; tithi presence at sunrise decides observance"
Vaishakh,Apr–May,"Shukla Paksha, Krishna Paksha","Akshaya Tritiya, Buddha Purnima, Parashuram Jayanti","Akshaya Tritiya is Shukla Tritiya; Buddha Purnima on Purnima; festivals fixed by lunar tithi and sometimes weekday overlap"
Jyeshtha,May–Jun,"Shukla Paksha, Krishna Paksha","Ganga Dussehra, Nirjala Ekadashi, Vat Savitri","Ganga Dussehra on Shukla Dashami; Ekadashi depends on tithi at sunrise; regional vrata variations apply"
Ashadha,Jun–Jul,"Shukla Paksha, Krishna Paksha","Devshayani Ekadashi, Guru Purnima, Rath Yatra","Devshayani Ekadashi on Shukla Ekadashi; Guru Purnima on Purnima; Rath Yatra tied to Shukla Dwitiya with temple calendars"
Shravan (Sawan),Jul–Aug,"Shukla Paksha, Krishna Paksha","Sawan Somwar, Nag Panchami, Raksha Bandhan","Somwar vrat observed on Mondays of Shravan; Nag Panchami on Shukla Panchami; Raksha Bandhan on Purnima; month naming differs by Purnimanta/Amanta"
Bhadrapada,Aug–Sep,"Shukla Paksha, Krishna Paksha","Krishna Janmashtami, Ganesh Chaturthi, Radhashtami","Janmashtami on Krishna Ashtami at midnight; Ganesh Chaturthi on Shukla Chaturthi; nakshatra and midnight rules may apply"
Ashwin,Sep–Oct,"Shukla Paksha, Krishna Paksha","Sharad Navratri, Durga Puja, Vijayadashami (Dussehra)","Navratri from Shukla Pratipada to Navami; Dussehra on Shukla Dashami; tithi at sunrise determines day"
Kartik,Oct–Nov,"Shukla Paksha, Krishna Paksha","Diwali set (Govardhan, Bhai Dooj), Chhath Puja, Kartik Purnima","Diwali sequence spans Amavasya–Shukla Paksha; Chhath on Shukla Saptami with sunrise arghya; Kartik Purnima on full moon"
Margashirsha (Agrahayan),Nov–Dec,"Shukla Paksha, Krishna Paksha","Gita Jayanti, Vivah Panchami","Gita Jayanti on Shukla Ekadashi; Vivah Panchami on Shukla Panchami; purely tithi-based"
Pausha,Dec–Jan,"Shukla Paksha, Krishna Paksha","Pausha Purnima, Makar Sankranti (solar-linked)","Pausha Purnima on full moon; Makar Sankranti based on Sun’s transit into Capricorn, not lunar tithi"
Magh,Jan–Feb,"Shukla Paksha, Krishna Paksha","Mauni Amavasya, Vasant Panchami","Mauni Amavasya on new moon; Vasant Panchami on Shukla Panchami; major bathing days fixed by tithi"
Phalguna,Feb–Mar,"Shukla Paksha, Krishna Paksha","Maha Shivratri, Holi (Holika Dahan & Rangwali Holi)","Shivratri on Krishna Chaturdashi; Holika Dahan on Purnima night; Rangwali Holi next day; tithi-night rules apply"
Adhika Maas (Malmas),Occurs every ~2–3 years,"Extra lunar month inserted between regular months","Malmas Mela, Additional vrat and pilgrimages","Inserted when no solar transit occurs in a lunar month; most major festivals are postponed to next normal month"
