Festival,Typical celebration time (Gregorian),Lunar timing (common),Where in Bihar (notable),How it’s celebrated (key details),How people relate to it (meaning/identity)
Chhath Puja (Kartik Chhath),"Oct–Nov (most common; 4 days, ~1 week after Diwali)","Shukla Paksha: Chaturthi–Saptami (Kartik month)","Across Bihar; especially Patna, Vaishali, Begusarai, Bhojpur, Darbhanga, etc.","4-day vrat; ‘Nahay-Khay’, ‘Kharna’, evening arghya to setting Sun, morning arghya to rising Sun at rivers/ponds; offerings in soop (bamboo basket), community ghats","Deep pride as Bihar’s signature festival; devotion + discipline; family/community bonding at ghats; gratitude to Sun and nature"
Chhath Puja (Chaiti/Chaitra Chhath),"Mar–Apr (less common; 4 days)","Shukla Paksha: Chaturthi–Saptami (Chaitra month)","Across Bihar (observed by many households)","Same 4-day structure as Kartik Chhath; smaller but equally strict observance","Seen as a ‘second Chhath’ for vows/thanks; often done for family health or a wish-fulfilled mannāt"
Sama-Chakeva,"Nov–Dec","Starts after Kartik Purnima; ends around full moon (varies by region)","Mithila region: Darbhanga, Madhubani, Sitamarhi, Samastipur","Clay/bamboo idols of Sama & Chakeva, folk songs, nightly gatherings by young women, symbolic rituals; celebrates sibling bond and seasonal migration folklore","Strong Maithil cultural identity; sisters pray for brothers’ well-being; keeps folk art + songs alive"
Sonepur Mela (Harihar Kshetra Mela / cattle fair),"Nov–Dec (month-long in many years)","Begins around Kartik Purnima (full moon after Diwali)","Sonepur (Saran), near Ganga–Gandak confluence","Huge fair: livestock trade, crafts, folk performances, rides; pilgrims take ritual bath and visit Harihar Nath temple","Pride in Bihar’s famed fair; mix of faith + commerce + rural recreation; a ‘big annual outing’ for families"
Shravani Mela (Sultanganj–Ajgaibinath Kanwariya tradition),"Jul–Aug","Shravan month","Sultanganj (Bhagalpur) and nearby pilgrimage belt","Devotees collect Ganga jal, walk as Kanwariyas, offer to Shiva; bazaars, camps, devotional music","Seen as intense bhakti + endurance; community service (seva) through camps/food"
Pitrapaksha Mela (Gaya Shraddha),"Sep–Oct (about 15–16 days)","Pitru Paksha (Krishna Paksha of Bhadrapada/early Ashwin)","Gaya","Families perform pind-daan and shraddha rituals at ghats and sacred sites","Deep ancestral duty; many travel from far; belief in peace/moksha for ancestors"
Rajgir Mahotsav (cultural festival),"Oct–Dec (dates vary by year)","Not strictly lunar-fixed","Rajgir (Nalanda)","Multi-day cultural programs: folk/classical music & dance, crafts/food stalls, tourism events","Regional pride + tourism; celebrates Bihar’s arts and heritage in a modern festival format"
Malmas Mela (Adhika Maas fair at Rajgir),"Occurs only in extra lunar month years (every ~2–3 years)","Adhika Maas (Malmas)","Rajgir (Nalanda)","Pilgrimage bathing, temple visits, fairs and religious discourses during the extra month","Seen as rare, highly auspicious; major influx of pilgrims; local economy + devotion both rise"
Buddha Purnima (Buddha Jayanti / Vesak),"Apr–May","Vaishakha Purnima","Bodh Gaya (Gaya), Rajgir, Vaishali, Nalanda sites","Prayer meetings, processions, meditation, lamps; monasteries host ceremonies for Buddha’s birth/enlightenment/parinirvana","Bihar’s global Buddhist connection; harmony + spiritual tourism; locals value it as heritage"
Vaishali Mahotsav,"Apr–May (often)","Not strictly lunar-fixed","Vaishali","Cultural shows, exhibitions, heritage tourism programming (varies by year)","Pride in ancient Vaishali history; blends culture + tourism + local identity"
